platform_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,richness,shannon_h,simpson_1d,pielou_j,total_production_div
0-20 km,2001,267.13,4621,265.0,673.5999999999999,2,0.05780783380220731,28,2.0784188933278527,0.7524728738323645,0.623736894593715,267.11999999999995
0-20 km,2002,326.04999999999995,5488,289.0,770.6899999999999,2,0.059411443148688035,29,2.4069352427323634,0.8349416273331001,0.714797678688668,326.04
0-20 km,2003,445.36,6089,292.0,743.19,2,0.07314173099031039,31,2.1295527006742656,0.757021044865277,0.6201399637985975,445.35
0-20 km,2004,837.1500000000001,9109,320.0,881.62,2,0.09190361181249315,31,2.0649208180719505,0.7335855740976878,0.6013187280881385,837.1600000000001
0-20 km,2005,472.91999999999996,7513,326.0,737.96,2,0.06294689205377345,35,2.5935132525948785,0.8740354187454844,0.7294681723815245,472.9799999999999
0-20 km,2006,265.59,4678,249.0,663.46,2,0.05677426250534416,34,2.6973160306696866,0.8837894282325084,0.7649008125631979,265.59999999999997
0-20 km,2007,421.59000000000003,5878,298.0,780.71,2,0.07172337529772031,36,2.517798950239805,0.8429147054036521,0.7026051748242051,421.61
0-20 km,2008,1432.58,16014,427.0,1065.72,2,0.08945797427251155,37,2.7829008206439374,0.903845188307207,0.7706906908349125,1432.5800000000002
0-20 km,2009,2845.0480000000002,17958,429.0,861.5,2,0.15842788729257157,39,2.2192555286841316,0.7655343928123468,0.6057644835944427,2845.0067999999997
0-20 km,2010,2445.663,23574,559.0,891.5,2,0.10374408246373124,39,2.21244958416106,0.7717433912288931,0.603906743728031,2445.586
0-20 km,2011,2099.329,20323,387.0,741.0,2,0.10329818432318064,52,2.604385741626696,0.8630035682131318,0.6591306249673002,2099.3219999999997
0-20 km,2012,1269.8999999999999,19915,477.0,619.5,2,0.06376600552347476,47,2.899930382805466,0.9108656413441396,0.7531997946046147,1268.6000000000001
0-20 km,2013,1665.3,21282,444.0,636.5,2,0.07824922469692698,42,2.7542901747032906,0.8953877102881797,0.7369003833913702,1664.8999999999999
0-20 km,2014,921.23,10432,232.0,648.0,2,0.08830809049079755,39,2.831088825820972,0.9108802277759248,0.7727695339347881,921.1999999999999
0-20 km,2015,870.1,12754,246.0,690.0,2,0.06822173435784852,47,2.72461290365062,0.87751737250316,0.7076645327676457,869.9000000000001
0-20 km,2016,1694.4,12584,258.0,661.0,2,0.1346471710108074,43,2.9225951162281234,0.9208293285464548,0.7770379204322658,1695.6
0-20 km,2017,1763.0,11428,273.0,618.0,2,0.15427021351067555,38,2.7563616678981253,0.9070964492910933,0.7577447095041331,1762.5999999999997
0-20 km,2018,707.1099999999999,10272,278.0,710.0,2,0.06883859034267911,48,2.7479025776316948,0.890184452465983,0.7098320572579218,706.3
0-20 km,2019,1940.234,31153,291.0,808.0,2,0.06228080762687382,53,2.8780093514818623,0.8990596769639294,0.724886082471195,1940.26
0-20 km,2020,1559.54,21842,277.0,733.0,2,0.07140097060708726,52,2.8437442867165084,0.8961844075641504,0.7197086510617642,1559.53
0-20 km,2021,1512.04756,21970,263.0,750.0,2,0.06882328447883478,53,2.8922616522214724,0.9180584103508829,0.7284758187046849,1512.05
0-20 km,2022,1700.73,22615,355.6,849.0,2,0.0752036259120053,51,2.916034681142213,0.9178671608146922,0.7416490336886378,1700.5500000000002
0-20 km,2023,1763.23,22976,277.0,795.5999999999999,2,0.07674225278551532,53,2.863220481929787,0.9056843926029063,0.7211612003028095,1763.24
0-20 km,2024,1204.5,18528,266.6,652.0,2,0.06500971502590673,51,2.885259835815159,0.9165596731963488,0.7338219202299643,1204.71
20-50 km,2001,299.29999999999995,10817,280.0,862.47,2,0.027669409263196814,30,2.87812909217079,0.9253720674029281,0.8462105456415048,299.31000000000006
20-50 km,2002,371.47999999999996,8516,274.0,868.04,2,0.043621418506341,29,2.5871921406901035,0.8828134346392283,0.7683293275424796,371.43999999999994
20-50 km,2003,398.28999999999996,7375,280.0,965.45,4,0.054005423728813555,30,2.556417467841938,0.8745881958086704,0.7516227907339573,398.31
20-50 km,2004,531.39,9537,311.0,945.16,3,0.05571877949040579,31,2.4781717969438026,0.8316029903744577,0.7216601720900565,531.3599999999999
20-50 km,2005,622.21,11175,476.0,1339.66,5,0.055678747203579425,35,2.923742134847465,0.9212787376388613,0.8223504659126525,622.25
20-50 km,2006,487.66999999999996,8083,307.0,1016.15,3,0.0603327972287517,34,2.7394797255247516,0.8925408911902275,0.7768575295695097,487.66
20-50 km,2007,631.68,8531,425.0,1292.78,5,0.07404524674715741,36,2.450650168835936,0.8291942709939704,0.683866950593472,631.6400000000001
20-50 km,2008,1308.94,20986,556.0,1666.87,5,0.062372057562184315,37,2.765291688298776,0.8946550068654662,0.7658140548184857,1308.92
20-50 km,2009,3214.0530000000003,21026,628.0,2198.5,6,0.15286088652144966,39,2.9717469977613047,0.921890749467069,0.8111633663652947,3213.9997999999996
20-50 km,2010,2897.1639999999998,28208,776.0,1989.5,6,0.1027071752694271,39,3.228204337820055,0.9485131783902622,0.8811655568101269,2897.171
20-50 km,2011,2928.478,33369,927.0,1715.5,6,0.08776043633312355,52,3.166363520231174,0.9300598243039422,0.8013586976021716,2928.5280000000002
20-50 km,2012,3345.5,41397,1053.0,1421.0,6,0.08081503490591106,52,3.1236674720936035,0.9244102399852916,0.7905529738406165,3345.3
20-50 km,2013,4087.3,39263,963.0,1521.75,6,0.10410055268318774,42,2.9339386402050667,0.9050763269591763,0.7849646811620985,4087.3999999999996
20-50 km,2014,2809.99,18287,476.0,1452.0,6,0.15366052386941542,42,2.3145429514825544,0.787641467639304,0.6192476028808491,2809.7000000000007
20-50 km,2015,3251.2999999999997,20903,527.0,1623.0,6,0.15554226666028798,51,1.9985064126134717,0.6429735710150688,0.5082896850714931,3251.7
20-50 km,2016,5582.9,18933,504.0,1481.0,6,0.29487667036391485,43,2.351238796568644,0.759376384226111,0.6251299383827328,5584.8
20-50 km,2017,5596.0,15028,520.0,1310.0,6,0.37237157306361457,40,2.277226022682136,0.7517451172668725,0.6173218862282185,5597.7
20-50 km,2018,2986.56,11122,510.0,1451.0,6,0.26852724330156447,51,1.7591244248217852,0.5848266682378951,0.4474065203148147,2985.0
20-50 km,2019,5877.234,46555,446.0,1455.0,6,0.1262428095800666,54,1.9313296982011483,0.6060009307677876,0.4841658115591134,5877.24
20-50 km,2020,5059.31,24092,409.0,1311.0,6,0.20999958492445628,53,1.860758858129299,0.5920450773825393,0.4686705407674984,5059.469999999998
20-50 km,2021,5922.65564,27442,418.0,1347.7,6,0.21582448946869762,54,1.95776746198101,0.6385564970672796,0.49079350509492303,5922.54
20-50 km,2022,5586.8099999999995,26606,505.40000000000003,1314.7,6,0.20998308652183717,54,1.911882751615601,0.6073645244001729,0.4792906487711607,5586.950000000001
20-50 km,2023,5581.64,27241,395.0,1273.5,6,0.20489849858668918,54,1.9195277077774042,0.6036139777994225,0.4812071658774118,5581.670000000001
20-50 km,2024,4295.9,20826,411.2,1089.0,6,0.20627580908479784,53,1.898960096770302,0.5960269273337062,0.4782923115271263,4296.280000000001
